id,title,artist,bpm,camelot,musical_key,beatport_url,beatport_track_id
697a4a55522f3d36fd34d720,Eclipse - Fake Mood Remix,"Aiwaska, Fake Mood",120,11A,F# Minor,https://www.beatport.com/track/eclipse/14383135,14383135
697a4b19522f3d36fd34d753,Affaire Tropical,"Alvaro Cabana, Balam",118,6B,Bb Major,https://www.beatport.com/track/affaire-tropical/17736449,17736449
697a4c85522f3d36fd34d7b5,Levels,"Anturage, Meleetone",119,10B,D Major,https://www.beatport.com/track/levels/16663287,16663287
697a4d71522f3d36fd34d7e9,Revolver,"Facundo Mohrr, Maxi Degrassi",123,8A,A Minor,https://www.beatport.com/track/revolver/18423888,18423888
697a4e3e522f3d36fd34d81f,Coconana,"Fake Mood, DIBIDABO",120,7B,F Major,https://www.beatport.com/track/coconana/17086537,17086537
697a4ec9522f3d36fd34d83d,Sans Vetements,Far&High,122,4A,F Minor,https://www.beatport.com/track/sans-vetements/17089619,17089619
697a4ff5522f3d36fd34d88b,Check This Out,Francesco Pico,120,9A,E Minor,https://www.beatport.com/track/check-this-out/17768760,17768760
697a5121522f3d36fd34d8d0,Future - Kenny Larkin Tension Mix,"Kevin Saunderson, Inner City, Kenny Larkin",93,8B,C Major,https://www.beatport.com/track/future-feat-inner-city/3121688,3121688
697a68a2650a016ea7b7589e,Silencio - Elif Remix,"Agustin Giri, Last Men On Earth, ELIF",120,8B,C Major,https://www.beatport.com/track/silencio/19214645,19214645
697a6a448ba578a5c24dd259,Bad Things,"Prana Flow, Aiwaska, HOTDISC",122,7B,F Major,https://www.beatport.com/track/bad-things/20392272,20392272
697a6a9a8ba578a5c24dd281,White Lines,"Prana Flow, Aiwaska, HOTDISC",124,7B,F Major,https://www.beatport.com/track/white-lines/20392273,20392273
697a6b6c8ba578a5c24dd29b,Tonight - Extended Mix,Arad Maor,122,10B,D Major,https://www.beatport.com/track/tonight/19213119,19213119
697a6d238ba578a5c24dd2f4,Funk You,Ary Sya,123,5B,Eb Major,https://www.beatport.com/track/funk-you/20112216,20112216
697a6d858ba578a5c24dd31a,Doppelganger,"Bákayan, Groove Shack",122,8B,C Major,https://www.beatport.com/track/doppelganger/18375192,18375192
697a6e868ba578a5c24dd337,Pulse of the Machine,Bambi Rambo,118,11B,A Major,https://www.beatport.com/track/pulse-of-the-machine/20200925,20200925
697a6f118ba578a5c24dd355,Whats Happenen,Benesh,122,8B,C Major,https://www.beatport.com/track/whats-happenen/19805497,19805497
697a75788ba578a5c24dd4b0,My Looks - Extended Mix,"DJ VOLV, Benesh",123,9B,G Major,https://www.beatport.com/track/my-looks/20038654,20038654
697a76808ba578a5c24dd4f3,Spherical Aberration - Jiggler Remix,"Benno Blome, Jiggler",122,7B,F Major,https://www.beatport.com/track/spherical-aberration/10081333,10081333
697a77938ba578a5c24dd525,Freddo,Bonafique,122,10A,B Minor,https://www.beatport.com/track/freddo/19273002,19273002
697a79bc8ba578a5c24dd587,Row,"Che&Mos, Halo Far",123,9B,G Major,https://www.beatport.com/track/row/20182100,20182100
697a7aae8ba578a5c24dd5ad,Dafne,"Theus Mago, Curses",122,11A,Gb Minor,https://www.beatport.com/track/dafne/16935994,16935994
697a7b3e8ba578a5c24dd5c9,Get Move - Extended Mix,D-MICE,124,9B,G Major,https://www.beatport.com/track/get-move/19770827,19770827
697a7d108ba578a5c24dd63d,Deliquente (feat. Jay Blakk),"DJ Glen, Climbers, Jay Blakk",127,4A,F Minor,https://www.beatport.com/track/deliquente-feat-jay-blakk/19919657,19919657
697a86b78ba578a5c24dd855,OK!,"RBØR, Andor Gabriel, Paakman",120,5B,Eb Major,https://www.beatport.com/track/ok/18837799,18837799
697a9dfb8ba578a5c24dda6e,Clifton Groove,Philou,125,10B,D Major,https://www.beatport.com/track/clifton-groove/22421378,22421378
697b2b7a8ba578a5c24ddf96,Round and Round,DJ VOLV,123,9B,G Major,https://www.beatport.com/track/round-and-round/19307960,19307960
697b2bf78ba578a5c24ddfba,Shake It - Extended Mix,"Dobrov, Molekula",124,9B,G Major,https://www.beatport.com/track/shake-it/19979307,19979307
697b2c668ba578a5c24ddfd2,Citizen - Extended Mix,Dub Pepper,123,6B,Bb Major,https://www.beatport.com/track/citizen/18560643,18560643
697b2cee8ba578a5c24ddff2,Boom,"Dub Pepper, Februm",123,9B,G Major,https://www.beatport.com/track/boom/19924654,19924654
697b2d7c8ba578a5c24de013,Ritmo - Extended Mix,"Dub Pepper, Margaryan",123,12B,E Major,https://www.beatport.com/track/ritmo/19190303,19190303
697b2e848ba578a5c24de032,Khokana,FAR,122,5B,Eb Major,https://www.beatport.com/track/khokana/17484269,17484269
697b302e8ba578a5c24de098,Take It Slow - Extended Mix,"DJ VOLV, Februm",122,6A,G Minor,https://www.beatport.com/track/take-it-slow/20038655,20038655
697b31198ba578a5c24de0bb,Deepn Breath,"ForgiveMeTommy!, La Zingara",124,8B,C Major,https://www.beatport.com/track/deepn-breath-feat-la-zingara/19895541,19895541
697b31c88ba578a5c24de0e0,I Like It - Extended Mix,"Georgie Navi, Monado",122,7B,F Major,https://www.beatport.com/track/i-like-it/19321896,19321896
697b33818ba578a5c24de211,Lambo - Extended Mix,"Georgie Navi, Monado",122,9B,G Major,https://www.beatport.com/track/lambo/19321897,19321897
697b345b8ba578a5c24de25c,Thats!,Gezin,122,9B,G Major,https://www.beatport.com/track/thats/19509642,19509642
