epoch,bpm_output_loss,bpm_output_mae,key_output_accuracy,key_output_loss,loss,val_bpm_output_loss,val_bpm_output_mae,val_key_output_accuracy,val_key_output_loss,val_loss
0,0.603486955165863,0.5733712911605835,0.05877293646335602,3.4637441635131836,3.49391770362854,0.04048579931259155,0.1922343522310257,0.027355622500181198,3.2876765727996826,3.292041063308716
1,0.2157154232263565,0.35113462805747986,0.061066512018442154,3.3201725482940674,3.3309569358825684,0.06646198779344559,0.20964789390563965,0.07294832915067673,3.5008704662323,3.494004487991333
2,0.12255468964576721,0.2638320028781891,0.08858945220708847,3.2197444438934326,3.22587251663208,0.04243965819478035,0.16676150262355804,0.13981762528419495,3.1840078830718994,3.191375494003296
3,0.07148918509483337,0.20397688448429108,0.11009174585342407,3.144109010696411,3.1476829051971436,0.025615816935896873,0.1371135711669922,0.07902735471725464,3.274454355239868,3.272395372390747
4,0.04425719007849693,0.16243453323841095,0.12672019004821777,3.0707590579986572,3.072971820831299,0.009424353949725628,0.07781189680099487,0.12765957415103912,2.9110560417175293,2.9103071689605713
5,0.029731683433055878,0.13624313473701477,0.15969036519527435,3.0105783939361572,3.0120644569396973,0.005531993228942156,0.06190240755677223,0.16717325150966644,2.866905689239502,2.8668863773345947
6,0.022416817024350166,0.11667400598526001,0.18721330165863037,2.947726249694824,2.9488472938537598,0.01851438544690609,0.11865776032209396,0.2249240130186081,2.740201711654663,2.7394022941589355
7,0.016987450420856476,0.10009660571813583,0.19409403204917908,2.9153215885162354,2.916171073913574,0.0072137280367314816,0.06652912497520447,0.23708206415176392,2.7398366928100586,2.7358837127685547
8,0.014866703189909458,0.09285558760166168,0.19982798397541046,2.8781449794769287,2.8788888454437256,0.008074356243014336,0.07886520028114319,0.2583586573600769,2.630279064178467,2.6281228065490723
9,0.013825124129652977,0.0890481248497963,0.2098623812198639,2.850031852722168,2.850722551345825,0.020261960104107857,0.10887531191110611,0.20668692886829376,2.8398900032043457,2.841792345046997
10,0.012239844538271427,0.07944182306528091,0.21301604807376862,2.8389790058135986,2.839589834213257,0.0061500114388763905,0.06659003347158432,0.28267475962638855,2.5569660663604736,2.559246301651001
